Format,Matches,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s,Name
Test,9,18,0,449,118,24.94,940,47.77,1,0,2,58,2,Mark Vermeulen
ODI,43,43,3,868,92,21.7,1227,70.74,0,0,6,110,2,Mark Vermeulen
Test,16,31,2,582,82,20.07,1173,49.62,0,0,1,78,3,Aftab Ahmed
ODI,85,85,6,1954,92,24.73,2353,83.04,0,0,14,205,49,Aftab Ahmed
T20I,11,11,1,228,62,22.8,178,128.09,0,0,1,26,6,Aftab Ahmed
Test,11,22,0,518,121,23.55,1332,38.89,1,0,2,72,1,Nafees Iqbal
ODI,16,16,0,309,58,19.31,568,54.4,0,0,2,32,2,Nafees Iqbal
Test,2,4,2,16,8,8.0,21,76.19,0,0,0,2,1,Nazmul Hossain
ODI,38,21,13,35,6,4.38,128,27.34,0,0,0,0,0,Nazmul Hossain
T20I,4,2,2,3,3,0.0,15,20.0,0,0,0,0,0,Nazmul Hossain
ODI,135,130,12,3428,111,29.05,4524,75.77,3,0,24,353,33,Steve Tikolo
T20I,15,15,3,345,56,28.75,281,122.78,0,0,2,46,6,Steve Tikolo
ODI,12,9,0,150,86,16.67,210,71.43,0,0,1,16,0,Ragheb Aga
T20I,20,18,2,213,52,13.31,196,108.67,0,0,1,15,5,Ragheb Aga
ODI,63,56,9,1109,78,23.6,1906,58.18,0,0,5,94,3,Hitesh Modi
ODI,136,119,16,2420,111,23.5,3438,70.39,1,0,8,193,57,Thomas Odoyo
T20I,11,10,0,95,22,9.5,119,79.83,0,0,0,6,2,Thomas Odoyo
ODI,79,62,19,391,36,9.09,621,62.96,0,0,0,24,10,Peter Ongondo
T20I,8,6,0,28,16,4.67,23,121.74,0,0,0,1,2,Peter Ongondo
ODI,29,18,7,144,34,13.09,188,76.6,0,0,0,12,4,Lameck Onyango
T20I,5,4,2,17,5,8.5,21,80.95,0,0,0,0,0,Lameck Onyango
ODI,90,87,1,2016,144,23.44,3561,56.61,2,0,12,202,31,Kennedy Otieno
T20I,4,4,0,74,40,18.5,79,93.67,0,0,0,5,2,Kennedy Otieno
ODI,80,77,5,1501,61,20.85,2520,59.56,0,0,7,139,5,Morris Ouma
T20I,22,19,1,127,19,7.06,160,79.38,0,0,0,15,1,Morris Ouma
ODI,3,3,0,40,25,13.33,95,42.11,0,0,0,3,0,Malhar Patel
