Format,Matches,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s,Name
ODI,9,6,2,33,16,8.25,56,58.93,0,0,0,2,0,Atul Wassan
Test,1,1,0,18,18,18.0,38,47.37,0,0,0,2,0,Gursharan Singh
ODI,1,1,0,4,4,4.0,10,40.0,0,0,0,0,0,Gursharan Singh
ODI,3,1,1,2,2,0.0,2,100.0,0,0,0,0,0,Saradindu Mukherjee
Test,17,21,1,1084,227,54.2,1817,59.66,4,2,3,124,6,Vinod Kambli
ODI,104,97,21,2477,106,32.59,3443,71.94,2,0,14,187,20,Vinod Kambli
Test,67,92,20,1009,76,14.01,2037,49.53,0,0,4,110,8,Javagal Srinath
ODI,229,121,38,883,53,10.64,1109,79.62,0,0,1,62,17,Javagal Srinath
Test,11,13,3,425,103,42.5,1072,39.65,1,0,3,44,3,Pravin Amre
ODI,37,30,5,513,84,20.52,799,64.21,0,0,2,28,2,Pravin Amre
Test,1,1,0,3,3,3.0,7,42.86,0,0,0,0,0,Subroto Banerjee
ODI,6,5,3,49,25,24.5,42,116.67,0,0,0,2,1,Subroto Banerjee
Test,15,24,2,576,96,26.18,1463,39.37,0,0,4,62,3,Ajay Jadeja
ODI,196,179,35,5359,119,37.22,7677,69.81,6,0,30,366,85,Ajay Jadeja
Test,1,1,0,30,30,30.0,25,120.0,0,0,0,3,2,Vijay Yadav
ODI,19,12,2,118,34,11.8,116,101.72,0,0,0,7,2,Vijay Yadav
Test,21,17,3,98,23,7.0,348,28.16,0,0,0,10,3,Rajesh Chauhan
ODI,35,18,5,132,32,10.15,171,77.19,0,0,0,5,4,Rajesh Chauhan
Test,44,68,8,1442,152,24.03,3742,38.54,1,0,6,159,5,Nayan Mongia
ODI,140,96,33,1272,69,20.19,1846,68.91,0,0,2,95,8,Nayan Mongia
ODI,13,10,3,158,51,22.57,183,86.34,0,0,1,11,5,Atul Bedade
ODI,2,1,0,6,6,6.0,13,46.15,0,0,0,0,0,Bhupinder Singh
Test,4,6,1,97,42,19.4,181,53.59,0,0,0,8,2,Aashish Kapoor
ODI,17,6,0,43,19,7.17,63,68.25,0,0,0,2,1,Aashish Kapoor
ODI,4,2,0,15,12,7.5,12,125.0,0,0,0,2,0,Prashant Vaidya
Test,6,10,0,131,44,13.1,383,34.2,0,0,0,13,0,Vikram Rathour
ODI,7,7,0,193,54,27.57,331,58.31,0,0,2,16,1,Vikram Rathour
Test,2,3,1,58,28,29.0,111,52.25,0,0,0,8,0,Paras Mhambrey
ODI,3,1,1,7,7,0.0,5,140.0,0,0,0,1,0,Paras Mhambrey
ODI,2,2,0,16,9,8.0,63,25.4,0,0,0,1,0,Sujith Somasunder
Test,4,7,3,25,8,6.25,122,20.49,0,0,0,1,0,Dodda Ganesh
ODI,1,1,0,4,4,4.0,8,50.0,0,0,0,0,0,Dodda Ganesh
Test,10,11,1,66,35,6.6,164,40.24,0,0,0,0,4,Abey Kuruvilla
ODI,25,11,4,26,7,3.71,43,60.47,0,0,0,1,1,Abey Kuruvilla
Test,3,2,1,5,4,5.0,42,11.9,0,0,0,0,0,Nilesh Kulkarni
ODI,10,5,3,11,5,5.5,20,55.0,0,0,0,0,0,Nilesh Kulkarni
Test,3,4,1,6,6,2.0,38,15.79,0,0,0,1,0,Harvinder Singh
ODI,16,5,1,6,3,1.5,19,31.58,0,0,0,0,0,Harvinder Singh
Test,2,1,1,0,0,0.0,8,0.0,0,0,0,0,0,Debasis Mohanty
ODI,45,11,6,28,18,5.6,57,49.12,0,0,0,1,0,Debasis Mohanty
Test,2,4,1,39,21,13.0,105,37.14,0,0,0,3,1,Sairaj Bahutule
ODI,8,4,1,23,11,7.67,29,79.31,0,0,0,2,0,Sairaj Bahutule
Test,2,4,0,74,45,18.5,185,40.0,0,0,0,8,0,Hrishikesh Kanitkar
ODI,34,27,8,339,57,17.84,512,66.21,0,0,1,25,1,Hrishikesh Kanitkar
Test,1,2,0,2,2,1.0,22,9.09,0,0,0,0,0,Rahul Sanghvi
ODI,10,2,0,8,8,4.0,11,72.73,0,0,0,0,1,Rahul Sanghvi
ODI,2,2,0,115,89,57.5,185,62.16,0,0,1,11,0,Gagan Khoda
Test,6,10,1,106,19,11.78,370,28.65,0,0,0,6,0,Mannava Prasad
ODI,17,11,2,131,63,14.56,225,58.22,0,0,1,11,0,Mannava Prasad
Test,1,2,0,7,4,3.5,70,10.0,0,0,0,0,0,Nikhil Chopra
ODI,39,26,6,310,61,15.5,498,62.25,0,0,1,15,5,Nikhil Chopra
ODI,4,4,1,54,27,18.0,91,59.34,0,0,0,3,1,Jatin Paranjpe
ODI,2,2,0,8,8,4.0,14,57.14,0,0,0,0,0,Sanjay Raul
ODI,2,2,1,4,4,4.0,11,36.36,0,0,0,0,0,Gyanendra Pandey
ODI,12,11,0,149,57,13.55,188,79.26,0,0,1,14,2,Amay Khurasiya
Test,19,37,0,1367,143,36.95,2938,46.53,2,0,8,159,0,Sadagoppan Ramesh
ODI,24,24,1,646,82,28.09,1092,59.16,0,0,6,70,1,Sadagoppan Ramesh
ODI,10,8,1,158,39,22.57,331,47.73,0,0,0,15,0,Jacob Martin
Test,3,3,0,28,22,9.33,145,19.31,0,0,0,2,0,Vijay Bharadwaj
ODI,10,9,4,136,41,27.2,194,70.1,0,0,0,15,1,Vijay Bharadwaj
ODI,8,3,0,19,8,6.33,27,70.37,0,0,0,2,0,Thirunavukkarasu Kumaran
Test,4,7,1,204,88,34.0,545,37.43,0,0,2,27,1,Devang Gandhi
ODI,3,3,0,49,30,16.33,97,50.52,0,0,0,8,0,Devang Gandhi
Test,6,10,1,141,47,15.67,368,38.32,0,0,0,19,0,Sameer Dighe
ODI,23,17,6,256,94,23.27,421,60.81,0,0,1,11,2,Sameer Dighe
ODI,8,7,1,81,57,13.5,135,60.0,0,0,1,9,0,Sridharan Sriram
IPL,2,2,0,31,27,15.5,36,86.11,0,0,0,3,0,Sridharan Sriram
Test,4,7,1,94,38,15.67,248,37.9,0,0,0,11,1,Hemang Badani
ODI,40,36,10,867,100,33.35,1180,73.47,1,0,4,68,10,Hemang Badani
ODI,2,1,1,0,0,0.0,0,0.0,0,0,0,0,0,Amit Bhandari
Test,2,1,1,2,2,0.0,5,40.0,0,0,0,0,0,Vijay Dahiya
ODI,19,15,2,216,51,16.62,267,80.9,0,0,1,18,3,Vijay Dahiya
ODI,18,14,3,280,67,25.45,381,73.49,0,0,2,16,6,Reetinder Sodhi
IPL,3,1,1,4,4,0.0,2,200.0,0,0,0,1,0,Reetinder Sodhi
Test,23,40,2,1326,110,34.89,3407,38.92,2,0,9,180,1,Shiv Sunder Das
ODI,4,4,1,39,30,13.0,77,50.65,0,0,0,2,1,Shiv Sunder Das
Test,8,13,1,344,100,28.67,1126,30.55,1,0,2,40,1,Deep Dasgupta
ODI,5,4,1,51,24,17.0,82,62.2,0,0,0,6,0,Deep Dasgupta
Test,6,10,1,163,115,18.11,533,30.58,1,0,0,14,0,Ajay Ratra
ODI,12,8,1,90,30,12.86,127,70.87,0,0,0,8,0,Ajay Ratra
Test,3,2,1,43,39,43.0,136,31.62,0,0,0,1,0,Sarandeep Singh
ODI,5,4,1,47,19,15.67,73,64.38,0,0,0,6,0,Sarandeep Singh
ODI,12,7,3,81,69,20.25,123,65.85,0,0,1,11,1,Jai Prakash Yadav
ODI,1,1,0,10,10,10.0,22,45.45,0,0,0,1,0,Abhijit Kale
ODI,11,10,2,151,54,18.88,234,64.53,0,0,1,8,2,Rohan Gavaskar
IPL,2,1,0,2,2,2.0,8,25.0,0,0,0,0,0,Rohan Gavaskar
Test,50,92,6,2684,119,31.21,2384,112.58,5,0,14,262,17,Mark Burgess
ODI,26,20,0,336,47,16.8,515,65.24,0,0,0,19,2,Mark Burgess
Test,35,50,13,533,68,14.41,445,119.78,0,0,2,43,7,Richard Collinge
ODI,15,9,3,34,9,5.67,62,54.84,0,0,0,0,1,Richard Collinge
ODI,3,3,0,62,38,20.67,104,59.62,0,0,0,3,2,Peter Coman
Test,61,114,7,3448,176,32.22,4375,78.81,7,0,19,267,12,Bev Congdon
ODI,11,9,3,338,101,56.33,472,71.61,1,0,2,29,2,Bev Congdon
Test,26,42,5,530,56,14.32,1151,46.05,0,0,1,45,6,Dayle Hadlee
ODI,11,7,2,40,20,8.0,85,47.06,0,0,0,3,0,Dayle Hadlee
Test,86,134,19,3124,151,27.17,4649,67.2,2,0,15,343,33,Sir Richard Hadlee
ODI,115,98,16,1751,79,21.35,2319,75.51,0,0,4,123,25,Sir Richard Hadlee
Test,31,56,6,1510,117,30.2,1959,77.08,4,0,7,134,3,Brian Hastings
ODI,11,9,1,151,37,18.88,271,55.72,0,0,0,14,0,Brian Hastings
Test,30,42,18,291,61,12.12,695,41.87,0,0,1,28,0,Hedley Howarth
ODI,9,5,2,18,11,6.0,26,69.23,0,0,0,1,0,Hedley Howarth
Test,41,73,6,2991,259,44.64,4061,73.65,7,2,14,265,0,Glenn Turner
ODI,41,40,6,1598,171,47.0,2348,68.06,3,0,9,156,7,Glenn Turner
Test,5,6,0,110,43,18.33,0,0.0,0,0,0,14,1,Graham Vivian
ODI,1,1,0,14,14,14.0,30,46.67,0,0,0,0,0,Graham Vivian
Test,33,51,4,1010,80,21.49,1296,77.93,0,0,5,99,1,Ken Wadsworth
ODI,13,10,1,258,104,28.67,334,77.25,1,0,0,28,3,Ken Wadsworth
Test,32,59,7,1266,116,24.35,1127,112.33,2,0,7,124,4,Vic Pollard
ODI,3,2,0,67,55,33.5,145,46.21,0,0,1,9,1,Vic Pollard
Test,1,2,0,163,107,81.5,0,0.0,1,0,1,29,0,Rodney Redmond
ODI,2,1,0,3,3,3.0,11,27.27,0,0,0,0,0,Rodney Redmond
Test,30,50,6,898,124,20.41,184,0.0,2,0,2,98,13,Bruce Taylor
ODI,2,1,0,22,22,22.0,42,52.38,0,0,0,4,0,Bruce Taylor
Test,43,65,7,928,64,16.0,1223,75.88,0,0,2,80,28,Lance Cairns
ODI,78,65,6,987,60,16.73,941,104.89,0,0,2,70,41,Lance Cairns
Test,11,21,4,158,23,9.29,142,111.27,0,0,0,13,0,David OSullivan
ODI,3,2,1,2,1,2.0,5,40.0,0,0,0,0,0,David OSullivan
Test,36,63,2,1498,121,24.56,3031,49.42,3,0,5,121,0,John Parker
ODI,24,20,0,248,66,12.4,403,61.54,0,0,1,17,0,John Parker
ODI,2,2,1,26,19,26.0,93,27.96,0,0,0,1,0,Barry Hadlee
Test,47,83,5,2531,147,32.45,5753,43.99,6,0,11,255,1,Geoff Howarth
ODI,70,65,5,1384,76,23.07,2301,60.15,0,0,6,116,3,Geoff Howarth
Test,17,29,0,656,117,22.62,1349,48.63,1,0,3,61,2,John Morrison
ODI,18,15,3,252,55,21.0,472,53.39,0,0,1,22,1,John Morrison
ODI,14,8,4,54,27,13.5,145,37.24,0,0,0,4,0,Brian McKechnie
Test,8,15,0,377,55,25.13,646,58.36,0,0,3,52,3,Jock Edwards
ODI,6,6,0,138,41,23.0,191,72.25,0,0,0,12,1,Jock Edwards
Test,9,18,0,423,92,23.5,629,67.25,0,0,3,43,1,Robert Anderson
ODI,2,2,1,16,12,16.0,46,34.78,0,0,0,1,0,Robert Anderson
Test,3,6,0,89,40,14.83,0,0.0,0,0,0,7,1,Murray Parker
ODI,1,1,0,0,0,0.0,3,0.0,0,0,0,0,0,Murray Parker
Test,7,12,1,254,84,23.09,5,0.0,0,0,1,14,1,Andy Roberts
ODI,1,1,0,16,16,16.0,24,66.67,0,0,0,0,0,Andy Roberts
Test,15,18,6,55,13,4.58,197,27.92,0,0,0,4,0,Gary Troup
ODI,22,12,8,101,39,25.25,140,72.14,0,0,0,7,2,Gary Troup
Test,30,41,8,207,37,6.27,831,24.91,0,0,0,13,0,Stephen Boock
ODI,14,7,4,30,12,10.0,31,96.77,0,0,0,2,0,Stephen Boock
Test,82,148,7,5334,185,37.83,14619,36.49,12,0,23,630,10,John Wright
ODI,149,148,1,3891,101,26.47,6804,57.19,1,0,24,370,15,John Wright
Test,6,12,2,24,8,2.4,121,19.83,0,0,0,3,0,Brendon Bracewell
ODI,1,1,1,0,0,0.0,4,0.0,0,0,0,0,0,Brendon Bracewell
Test,39,68,4,1958,161,30.59,5641,34.71,3,0,12,177,0,Bruce Edgar
ODI,64,64,5,1814,102,30.75,3685,49.23,1,0,10,126,3,Bruce Edgar
Test,52,85,13,2668,174,37.06,5783,46.14,3,0,16,266,8,Jeremy Coney
ODI,88,80,19,1874,66,30.72,2885,64.96,0,0,8,128,12,Jeremy Coney
Test,21,37,4,778,152,23.58,631,123.3,1,0,1,90,5,Warren Lees
ODI,31,24,5,215,26,11.32,307,70.03,0,0,0,11,4,Warren Lees
ODI,1,0,0,0,-,-,0,-,0,0,0,0,0,Warren Stott
Test,43,54,32,180,21,8.18,782,23.02,0,0,0,16,0,Ewen Chatfield
ODI,114,48,37,118,19,10.73,346,34.1,0,0,0,6,0,Ewen Chatfield
Test,4,7,1,96,40,16.0,222,43.24,0,0,0,6,0,Paul McEwan
ODI,17,15,0,204,41,13.6,346,58.96,0,0,0,11,0,Paul McEwan
Test,19,31,3,1296,180,46.29,3616,35.84,6,0,2,133,1,John Reid
ODI,25,24,1,633,88,27.52,1084,58.39,0,0,4,29,2,John Reid
Test,25,30,8,327,33,14.86,1168,28.0,0,0,0,35,0,Martin Snedden
ODI,93,54,19,535,64,15.29,843,63.46,0,0,1,32,1,Martin Snedden
Test,63,88,17,1815,173,25.56,2873,63.17,2,0,6,231,7,Ian Smith
ODI,98,77,16,1055,62,17.3,1061,99.43,0,0,3,93,10,Ian Smith
Test,1,1,0,12,12,12.0,35,34.29,0,0,0,2,0,Gary Robertson
ODI,10,6,0,49,17,8.17,48,102.08,0,0,0,1,0,Gary Robertson
Test,77,131,11,5444,299,45.37,12190,44.66,17,1,18,659,27,Martin Crowe
ODI,143,140,17,4704,107,38.24,6476,72.64,4,0,34,378,29,Martin Crowe
ODI,14,14,2,174,29,14.5,253,68.77,0,0,0,12,1,Bruce Blair
Test,39,65,4,1601,128,26.25,4659,34.36,3,0,6,183,4,Jeff Crowe
ODI,75,71,12,1518,88,25.73,2456,61.81,0,0,7,110,12,Jeff Crowe
Test,2,3,0,11,5,3.67,86,12.79,0,0,0,0,0,Peter Webb
ODI,5,5,1,38,10,9.5,101,37.62,0,0,0,4,0,Peter Webb
ODI,3,1,1,6,6,0.0,10,60.0,0,0,0,1,0,Richard Webb
Test,21,37,1,828,101,23.0,3131,26.45,1,0,4,83,1,Trevor Franklin
ODI,3,3,0,27,21,9.0,89,30.34,0,0,0,0,0,Trevor Franklin
Test,41,60,11,1001,110,20.43,2503,39.99,1,0,4,82,4,John Bracewell
ODI,53,43,12,512,43,16.52,717,71.41,0,0,0,36,3,John Bracewell
Test,6,9,2,108,26,15.43,294,36.73,0,0,0,11,3,Derek Stirling
ODI,6,5,2,21,13,7.0,39,53.85,0,0,0,1,0,Derek Stirling
Test,10,16,0,248,50,15.5,947,26.19,0,0,1,20,0,Evan Gray
ODI,10,7,1,98,38,16.33,230,42.61,0,0,0,6,0,Evan Gray
ODI,1,1,0,3,3,3.0,29,10.34,0,0,0,0,0,Ron Hart
Test,56,99,8,2465,107,27.09,5354,46.04,3,0,18,314,15,Ken Rutherford
ODI,121,115,8,3143,108,29.37,4888,64.3,2,0,18,223,17,Ken Rutherford
ODI,16,14,5,73,18,8.11,119,61.34,0,0,0,3,2,Ervin McSweeney
Test,1,1,0,28,28,28.0,81,34.57,0,0,0,2,0,Stu Gillespie
ODI,19,11,5,70,18,11.67,106,66.04,0,0,0,4,1,Stu Gillespie
Test,11,20,3,456,78,26.82,1201,37.97,0,0,2,62,4,Tony Blain
ODI,38,38,11,442,49,16.37,662,66.77,0,0,0,27,4,Tony Blain
Test,15,18,6,60,11,5.0,243,24.69,0,0,0,7,0,Willie Watson
ODI,61,24,13,86,21,7.82,180,47.78,0,0,0,6,3,Willie Watson
Test,4,7,0,71,27,10.14,289,24.57,0,0,0,7,0,Phil Horne
ODI,4,4,0,50,18,12.5,122,40.98,0,0,0,3,0,Phil Horne
Test,37,66,8,1200,99,20.69,2830,42.4,0,0,5,119,8,Dipak Patel
ODI,75,63,10,623,71,11.75,868,71.77,0,0,1,37,7,Dipak Patel
Test,39,74,7,2922,186,43.61,7443,39.26,7,0,11,245,8,Andrew Jones
ODI,87,87,9,2784,93,35.69,4811,57.87,0,0,25,199,8,Andrew Jones
Test,48,71,26,379,42,8.42,1696,22.35,0,0,0,35,1,Danny Morrison
ODI,96,43,24,171,20,9.0,400,42.75,0,0,0,8,2,Danny Morrison
Test,2,3,1,51,36,25.5,164,31.1,0,0,0,3,0,Vaughan Brown
ODI,3,3,0,44,32,14.67,85,51.76,0,0,0,3,0,Vaughan Brown
Test,41,71,5,2021,146,30.62,4946,40.86,3,0,10,227,10,Mark Greatbatch
ODI,84,83,5,2206,111,28.28,3099,71.18,2,0,13,177,38,Mark Greatbatch
Test,2,4,0,7,7,1.75,27,25.93,0,0,0,1,0,Chris Kuggeleijn
ODI,16,11,2,142,40,15.78,223,63.68,0,0,0,7,1,Chris Kuggeleijn
ODI,9,9,0,248,64,27.56,448,55.36,0,0,2,25,1,Richard Reid
Test,4,7,0,207,68,29.57,646,32.04,0,0,1,22,0,Bert Vance
ODI,8,8,0,248,96,31.0,481,51.56,0,0,1,10,3,Bert Vance
Test,8,13,4,127,26,14.11,495,25.66,0,0,0,17,0,Gavin Larsen
ODI,121,70,27,629,37,14.63,970,64.85,0,0,0,29,9,Gavin Larsen
ODI,2,1,1,1,1,0.0,2,50.0,0,0,0,0,0,Stu Roberts
Test,19,35,4,958,120,30.9,2113,45.34,1,0,5,133,6,Shane Thomson
ODI,56,52,10,964,83,22.95,1427,67.55,0,0,5,63,8,Shane Thomson
Test,3,4,0,56,26,14.0,181,30.94,0,0,0,6,0,Mark Priest
ODI,18,14,4,103,24,10.3,225,45.78,0,0,0,1,0,Mark Priest
Test,14,21,4,175,30,10.29,345,50.72,0,0,0,23,3,Chris Pringle
ODI,64,41,19,193,34,8.77,256,75.39,0,0,0,8,5,Chris Pringle
Test,2,4,0,31,18,7.75,93,33.33,0,0,0,3,0,David White
ODI,3,3,0,37,15,12.33,97,38.14,0,0,0,1,0,David White
Test,7,10,2,105,30,13.12,374,28.07,0,0,0,11,0,Grant Bradburn
ODI,11,10,3,60,30,8.57,130,46.15,0,0,0,1,0,Grant Bradburn
Test,23,42,4,777,71,20.45,2305,33.71,0,0,5,87,2,Chris Harris
ODI,250,213,62,4379,130,29.0,6583,66.52,1,0,16,275,43,Chris Harris
ODI,12,8,3,65,21,13.0,109,59.63,0,0,0,2,0,Richard Petrie
Test,4,7,0,219,119,31.29,447,48.99,1,0,0,27,1,Rod Latham
ODI,33,33,4,583,60,20.1,1008,57.84,0,0,1,50,1,Rod Latham
Test,35,68,4,2034,267,31.78,5222,38.95,2,1,12,232,1,Bryan Young
ODI,74,73,5,1668,74,24.53,2733,61.03,0,0,9,164,2,Bryan Young
Test,13,18,5,165,44,12.69,517,31.91,0,0,0,21,1,Murphy Sua
ODI,12,7,2,24,12,4.8,56,42.86,0,0,0,1,0,Murphy Sua
Test,32,50,11,570,46,14.62,852,66.9,0,0,0,76,9,Simon Doull
ODI,42,27,13,172,22,12.29,188,91.49,0,0,0,12,5,Simon Doull
Test,32,45,14,729,89,23.52,2102,34.68,0,0,4,65,4,Dion Nash
ODI,81,53,13,624,42,15.6,940,66.38,0,0,0,28,5,Dion Nash
Test,78,128,19,2865,110,26.28,7399,38.72,2,0,14,316,12,Adam Parore
ODI,179,161,32,3314,108,25.69,4867,68.09,1,0,14,169,36,Adam Parore
Test,9,18,0,303,52,16.83,967,31.33,0,0,1,35,0,Blair Hartland
ODI,16,16,1,311,68,20.73,623,49.92,0,0,2,28,0,Blair Hartland
Test,6,12,1,201,44,18.27,757,26.55,0,0,0,21,0,Justin Vaughan
ODI,18,16,7,162,33,18.0,261,62.07,0,0,0,7,0,Justin Vaughan
Test,4,2,1,4,3,4.0,35,11.43,0,0,0,0,0,Mark Haslam
ODI,1,1,0,9,9,9.0,18,50.0,0,0,0,0,0,Mark Haslam
ODI,5,1,1,0,0,0.0,3,0.0,0,0,0,0,0,Jonathan Millmow
Test,8,12,6,16,8,2.67,131,12.21,0,0,0,2,0,Michael Owens
ODI,1,1,0,0,0,0.0,3,0.0,0,0,0,0,0,Michael Owens
ODI,6,6,1,103,44,20.6,112,91.96,0,0,0,7,1,Jeff Wilson
T20I,1,1,0,18,18,18.0,14,128.57,0,0,0,2,0,Jeff Wilson
Test,5,10,4,45,26,7.5,90,50.0,0,0,0,6,0,Richard de Groen
ODI,12,8,3,12,7,2.4,36,33.33,0,0,0,0,0,Richard de Groen
Test,14,24,4,353,45,17.65,1045,33.78,0,0,0,45,0,Matthew Hart
ODI,13,8,0,61,16,7.62,101,60.4,0,0,0,3,1,Matthew Hart
ODI,6,6,0,55,30,9.17,123,44.72,0,0,0,2,1,Mark Douglas
Test,5,7,4,20,8,6.67,125,16.0,0,0,0,1,0,Heath Davis
ODI,11,6,4,13,7,6.5,33,39.39,0,0,0,0,0,Heath Davis
Test,8,16,1,303,52,20.2,1027,29.5,0,0,1,34,0,Darrin Murray
ODI,1,1,0,3,3,3.0,17,17.65,0,0,0,0,0,Darrin Murray
Test,12,21,3,382,55,21.22,978,39.06,0,0,1,54,1,Lee Germon
ODI,37,31,5,519,89,19.96,787,65.95,0,0,3,28,1,Lee Germon
ODI,1,1,0,13,13,13.0,25,52.0,0,0,0,1,0,Roydon Hayes
Test,16,27,2,628,94,25.12,2073,30.29,0,0,6,63,7,Roger Twose
ODI,87,81,10,2717,103,38.27,3603,75.41,1,0,20,240,33,Roger Twose
Test,19,37,2,922,112,26.34,2212,41.68,1,0,3,115,4,Craig Spearman
ODI,51,50,0,936,86,18.72,1202,77.87,0,0,5,123,9,Craig Spearman
Test,4,5,1,28,22,7.0,46,60.87,0,0,0,4,0,Robert Kennedy
ODI,7,4,3,17,8,17.0,15,113.33,0,0,0,2,0,Robert Kennedy
Test,10,15,7,27,8,3.38,269,10.04,0,0,0,1,0,Geoff Allott
ODI,31,11,6,17,7,3.4,56,30.36,0,0,0,0,0,Geoff Allott
Test,35,65,1,1788,157,27.94,4384,40.78,4,0,5,210,11,Matt Horne
ODI,50,48,0,980,74,20.42,1515,64.69,0,0,5,99,5,Matt Horne
ODI,5,3,1,23,15,11.5,33,69.7,0,0,0,0,0,Andrew Penn
Test,19,27,9,103,20,5.72,524,19.66,0,0,0,7,0,Shayne OConnor
ODI,38,13,6,24,8,3.43,91,26.37,0,0,0,1,1,Shayne OConnor
ODI,12,12,0,287,68,23.92,388,73.97,0,0,4,31,4,Llorne Howell
Test,25,34,8,366,36,14.08,989,37.01,0,0,0,42,4,Paul Wiseman
ODI,15,7,5,45,16,22.5,83,54.22,0,0,0,3,1,Paul Wiseman
ODI,1,0,0,0,-,-,0,-,0,0,0,0,0,Mark Bailey
ODI,5,5,2,35,13,11.67,32,109.38,0,0,0,2,1,Alex Tait
Test,5,5,2,10,4,3.33,91,10.99,0,0,0,1,0,Chris Drum
ODI,5,2,2,9,7,0.0,22,40.91,0,0,0,1,0,Chris Drum
ODI,4,2,1,9,7,9.0,8,112.5,0,0,0,0,1,Carl Bulfin
ODI,3,2,1,10,6,10.0,17,58.82,0,0,0,1,0,Warren Wisneski
Test,33,56,5,1635,214,32.06,3795,43.08,3,2,4,197,7,Mathew Sinclair
ODI,54,50,4,1304,118,28.35,2086,62.51,2,0,8,112,5,Mathew Sinclair
T20I,2,2,0,0,0,0.0,5,0.0,0,0,0,0,0,Mathew Sinclair
ODI,37,36,0,732,74,20.33,1000,73.2,0,0,4,82,3,Chris Nevin
ODI,3,2,1,9,6,9.0,15,60.0,0,0,0,0,0,Glen Sulzberger
Test,5,8,2,118,27,19.67,478,24.69,0,0,0,10,0,Brooke Walker
ODI,11,7,4,47,16,15.67,79,59.49,0,0,0,3,0,Brooke Walker
Test,38,65,3,2776,145,44.77,7370,37.67,4,0,19,344,4,Mark Richardson
ODI,4,4,0,42,26,10.5,97,43.3,0,0,0,4,0,Mark Richardson
Test,11,19,3,260,57,16.25,1012,25.69,0,0,1,18,0,Robbie Hart
ODI,2,1,0,0,0,0.0,9,0.0,0,0,0,0,0,Robbie Hart
Test,1,2,0,23,16,11.5,91,25.27,0,0,0,1,0,Richard Jones
ODI,5,5,0,168,63,33.6,329,51.06,0,0,1,14,2,Richard Jones
ODI,3,1,0,10,10,10.0,6,166.67,0,0,0,2,0,Matthew Walker
Test,3,5,0,13,5,2.6,33,39.39,0,0,0,2,0,Kerry Walmsley
ODI,2,0,0,0,-,-,0,-,0,0,0,0,0,Kerry Walmsley
ODI,4,4,1,52,23,17.33,73,71.23,0,0,0,1,2,Tama Canning
ODI,2,2,2,3,2,0.0,6,50.0,0,0,0,0,0,Lance Hamilton
Test,21,30,3,657,95,24.33,631,104.12,0,0,4,79,5,Keith Boyce
ODI,8,4,0,57,34,14.25,77,74.03,0,0,0,5,0,Keith Boyce
Test,14,24,5,580,125,30.53,72,0.0,1,0,1,41,0,Maurice Foster
ODI,2,1,0,25,25,25.0,62,40.32,0,0,0,4,0,Maurice Foster
Test,59,109,7,4334,169,42.49,4344,99.77,8,0,26,425,8,Roy Fredericks
ODI,12,12,0,311,105,25.92,440,70.68,1,0,1,27,1,Roy Fredericks
Test,79,109,39,488,25,6.97,579,84.28,0,0,0,24,0,Lance Gibbs
ODI,3,1,1,0,0,0.0,0,0.0,0,0,0,0,0,Lance Gibbs
Test,40,59,11,682,42,14.21,614,111.07,0,0,0,47,8,Vanburn Holder
ODI,12,6,1,64,30,12.8,85,75.29,0,0,0,4,2,Vanburn Holder
Test,24,34,6,866,121,30.93,836,103.59,2,0,3,78,7,Bernard Julien
ODI,12,8,2,86,26,14.33,148,58.11,0,0,0,6,0,Bernard Julien
Test,66,109,10,4399,187,44.43,4372,100.62,12,0,21,466,12,Alvin Kallicharran
ODI,31,28,4,826,78,34.42,1329,62.15,0,0,6,67,3,Alvin Kallicharran
Test,79,137,6,6227,256,47.53,2604,0.0,15,2,28,561,23,Rohan Kanhai
ODI,7,5,2,164,55,54.67,273,60.07,0,0,2,19,1,Rohan Kanhai
Test,110,175,14,7515,242,46.68,7489,100.35,19,1,39,758,70,Sir Clive Lloyd
ODI,87,69,19,1977,102,39.54,2434,81.22,1,0,11,160,30,Sir Clive Lloyd
Test,62,96,9,1993,91,22.91,2224,89.61,0,0,11,160,7,Deryck Murray
ODI,26,17,5,294,61,24.5,468,62.82,0,0,2,18,2,Deryck Murray
Test,93,160,21,8032,365,57.78,3867,0.0,26,2,30,719,32,Sir Garry Sobers
ODI,1,1,0,0,0,0.0,6,0.0,0,0,0,0,0,Sir Garry Sobers
Test,2,4,0,62,42,15.5,268,23.13,0,0,0,7,0,Ron Headley
ODI,1,1,0,19,19,19.0,41,46.34,0,0,0,2,0,Ron Headley
Test,19,31,3,601,84,21.46,984,61.08,0,0,3,35,0,David Murray
ODI,10,7,2,45,35,9.0,131,34.35,0,0,0,6,0,David Murray
Test,47,62,11,762,68,14.94,1303,58.48,0,0,3,54,22,Sir Andy Roberts
ODI,56,32,9,231,37,10.04,357,64.71,0,0,0,12,3,Sir Andy Roberts
Test,108,185,16,7558,226,44.72,12538,60.28,19,4,34,884,67,Sir Gordon Greenidge
ODI,128,127,13,5134,133,45.04,7908,64.92,11,0,31,470,81,Sir Gordon Greenidge
Test,30,49,2,2047,302,43.55,2866,71.42,7,2,7,210,6,Lawrence Rowe
ODI,11,8,0,136,60,17.0,244,55.74,0,0,1,11,0,Lawrence Rowe
